dato,defensiv,offensiv
2003-10-27,52.71831130981445,68.28958892822266
2003-10-28,52.807979583740234,69.21879577636719
2003-10-29,52.75031280517578,69.3110122680664
2003-10-30,52.70551300048828,69.45600128173828
2003-10-31,52.71190643310547,69.39007568359375
2003-11-03,52.68049621582031,69.84476470947266
2003-11-04,52.71895217895508,69.69319915771484
2003-11-05,52.66766357421875,69.74593353271484
2003-11-06,52.609962463378906,70.11498260498047
2003-11-07,52.56507873535156,69.59437561035156
2003-11-10,52.57789611816406,69.3110122680664
2003-11-11,52.57789611816406,69.29129791259766
2003-11-12,52.609962463378906,70.06884765625
2003-11-13,52.72538375854492,70.08861541748047
2003-11-14,52.78950881958008,69.49555969238281
2003-11-17,52.82155990600586,69.14628601074219
2003-11-18,52.82801055908203,68.42802429199219
2003-11-19,52.731788635253906,69.0079116821289
2003-11-20,52.8343620300293,68.38845825195312
2003-11-21,52.81516647338867,68.67182922363281
2003-11-24,52.744598388671875,69.58122253417969
2003-11-25,52.80234146118164,69.84476470947266
2003-11-26,52.744598388671875,70.0952377319336
2003-11-28,52.68049621582031,70.14791870117188
2003-12-01,52.60856628417969,70.90576171875
2003-12-02,52.66632080078125,70.7278060913086
2003-12-03,52.621421813964844,70.6158218383789
2003-12-04,52.67277526855469,70.90576171875
2003-12-05,52.839744567871094,70.41152954101562
2003-12-08,52.781982421875,70.88597869873047
2003-12-09,52.74982833862305,70.33903503417969
2003-12-10,52.81407928466797,70.33242797851562
2003-12-11,52.92323303222656,71.1231918334961
2003-12-12,52.91038513183594,71.26158905029297
2003-12-15,52.89753723144531,70.90576171875
2003-12-16,53.14582824707031,71.27478790283203
2003-12-17,53.15226364135742,71.4988021850586
2003-12-18,53.1651611328125,72.30278778076172
2003-12-19,53.17802047729492,72.10150909423828
2003-12-22,53.14582824707031,72.60469818115234
2003-12-23,53.06193161010742,72.65103912353516
2003-12-24,53.18447494506836,72.57820892333984
2003-12-26,53.229637145996094,72.63114166259766
2003-12-29,53.158721923828125,73.59783172607422
2003-12-30,53.18447494506836,73.61106872558594
2003-12-31,53.25292205810547,73.67726135253906
2004-01-02,53.1237907409668,73.64415740966797
2004-01-05,53.130226135253906,74.4452896118164
2004-01-06,53.19483947753906,74.51810455322266
2004-01-07,53.233604431152344,74.76973724365234
2004-01-08,53.24001693725586,75.06767272949219
2004-01-09,53.36917495727539,74.41217041015625
2004-01-12,53.40145492553711,74.96174621582031
2004-01-13,53.46604919433594,74.52477264404297
2004-01-14,53.41435241699219,75.1470947265625
2004-01-15,53.40790557861328,75.33251190185547
2004-01-16,53.36917495727539,75.63044738769531
2004-01-20,53.39500427246094,75.6105728149414
2004-01-21,53.427330017089844,76.20645904541016
2004-01-22,53.46604919433594,76.0078125
2004-01-23,53.388553619384766,75.7628402709961
2004-01-26,53.34980010986328,76.71626281738281
2004-01-27,53.41435241699219,75.92835998535156
2004-01-28,53.27876663208008,75.06104278564453
2004-01-29,53.29166030883789,75.13383483886719
2004-01-30,53.31752395629883,75.13383483886719
2004-02-02,53.33627700805664,75.45828247070312
2004-02-03,53.38798522949219,75.33251190185547
2004-02-04,53.35564422607422,74.71673583984375
2004-02-05,53.31684875488281,74.93522644042969
2004-02-06,53.40091323852539,75.77606201171875
2004-02-09,53.42030715942383,75.79595184326172
2004-02-10,53.34918212890625,76.04088592529297
2004-02-11,53.433265686035156,76.84870910644531
2004-02-12,53.45265197753906,76.57062530517578
2004-02-13,53.53025436401367,76.2263412475586
2004-02-17,53.48500061035156,76.91486358642578
2004-02-18,53.491477966308594,76.57721710205078
2004-02-19,53.51734924316406,76.29248809814453
2004-02-20,53.45907974243164,76.060791015625
2004-02-23,53.51084518432617,75.86878967285156
2004-02-24,53.51734924316406,75.73636627197266
2004-02-25,53.556129455566406,76.05419158935547
2004-02-26,53.536685943603516,76.10050964355469
2004-02-27,53.57552719116211,76.15348815917969
2004-03-01,53.55802536010742,76.90828704833984
2004-03-02,53.506282806396484,76.45806121826172
2004-03-03,53.467376708984375,76.59707641601562
2004-03-04,53.512733459472656,76.79570770263672
2004-03-05,53.62928009033203,77.0539321899414
2004-03-08,53.71343231201172,76.1137466430664
2004-03-09,53.745845794677734,75.8091812133789
2004-03-10,53.71343231201172,74.5379638671875
2004-03-11,53.758785247802734,73.57132720947266
2004-03-12,53.71993637084961,74.5379638671875
2004-03-15,53.69398498535156,73.62432098388672
2004-03-16,53.73288345336914,74.01493072509766
2004-03-17,53.73288345336914,74.84258270263672
2004-03-18,53.71343231201172,74.8624038696289
2004-03-19,53.73288345336914,73.78938293457031
2004-03-22,53.765281677246094,72.85256958007812
2004-03-23,53.77821731567383,72.72633361816406
2004-03-24,53.791175842285156,72.7861557006836
2004-03-25,53.784671783447266,73.7495346069336
2004-03-26,53.73288345336914,73.76946258544922
2004-03-29,53.69398498535156,74.8059310913086
2004-03-30,53.68751907348633,75.05841064453125
2004-03-31,53.72639465332031,75.144775390625
2004-04-01,53.66157531738281,75.59656524658203
2004-04-02,53.473548889160156,76.16797637939453
2004-04-05,53.42159652709961,76.58656311035156
2004-04-06,53.486446380615234,76.3407211303711
2004-04-07,53.49946212768555,76.16130065917969
2004-04-08,53.49946212768555,75.98859405517578
2004-04-12,53.44755554199219,76.28755950927734
2004-04-13,53.37618637084961,75.21784210205078
2004-04-14,53.285430908203125,75.33749389648438
2004-04-15,53.317813873291016,75.0517578125
2004-04-16,53.389156341552734,75.62982940673828
2004-04-19,53.32436752319336,75.62982940673828
2004-04-20,53.20112991333008,74.36077117919922
2004-04-21,53.20759582519531,74.85907745361328
2004-04-22,53.285430908203125,75.90888977050781
2004-04-23,53.17525100708008,75.98194885253906
2004-04-26,53.18169021606445,75.87562561035156
2004-04-27,53.24651336669922,75.94208526611328
2004-04-28,53.13628387451172,74.95874786376953
2004-04-29,53.12982940673828,74.301025390625
2004-04-30,53.15570831298828,73.72297668457031
2004-05-03,53.1790771484375,74.51361083984375
2004-05-04,53.1661491394043,74.45378875732422
2004-05-05,53.14667892456055,74.93219757080078
2004-05-06,53.133670806884766,74.2876968383789
2004-05-07,52.912841796875,73.05856323242188
2004-05-10,52.93882369995117,72.30775451660156
2004-05-11,52.94538879394531,72.91902160644531
2004-05-12,52.95833206176758,73.38410949707031
2004-05-13,52.932350158691406,73.07844543457031
2004-05-14,53.01675796508789,73.1116943359375
2004-05-17,53.08820724487305,72.48713684082031
2004-05-18,53.0362548828125,72.85256958007812
2004-05-19,53.010311126708984,72.6001205444336
2004-05-20,53.0362548828125,72.83263397216797
